title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Category:Philippine game show title cards	Philippine								Category:Philippine game show title cards 14 77220386 1232268407 1232224151 2024-07-02T21:15:55Z TAnthony 1808194 Sort 1232268407 wikitext text/x-wiki Title card and logo images from Philippine television game shows. __NOGALLERY__ Category:Game show title cards Title card images Game 1jvlj7li10df8c79awzwdtd8f4kegyb		
Iron Family	South Korean	2024	Black comedy, Family drama, Romantic drama	KBS2	Seong Jun Hae Seo Yong Soo	Han Sang Woo, Ltref Name, Quotcredits, Quot, Gt Kim Chang Min, Gt Park Sung Hye, Gt Jo Ji Hoon, Gt	36		Iron Family () is a 2024–2025 South Korean television series starring Kim Jung-hyun, Keum Sae-rok, Choi Tae-joon, and Yang Hye-ji. It aired on KBS2 from September 28, 2024, to January 26, 2025, every Saturday and Sunday at 19:55 (KST).		
Road to Kingdom: Ace of Ace	South Korean	2024	Reality competition	Mnet	Jo Woo Ri	Cinematography	8	Taemin, 8turn, Cravity, Oneus, Tempest, The New Six, Younite	Road to Kingdom: Ace of Ace () is a South Korean boy group reality competition survival show created by Mnet. The show was rebranded as an independent program from its predecessor. It premiered on Mnet on September 19, 2024, and aired every Thursday at 21:30 (KST). It is also available for streaming on TVING in South Korea, Abema in Japan, and Mnet K-pop YouTube channel in other countries. The winner of the show would receive a prize money worth million and an opportunity to attend KCON.		
The Tale of Lady Ok	South Korean	2024	Romantic thriller, Sageuk	JTBC	Jin Hyuk	Cinematography	16		The Tale of Lady Ok () is a 2024–2025 South Korean television series starring Lim Ji-yeon, Choo Young-woo, Yeonwoo and Kim Jae-won. It aired on JTBC every Saturday and Sunday at 22:30 (KST) from November 30, 2024 to January 26, 2025. It is also available for streaming on Viu and Kocowa in selected regions.		
Soul Mate	South Korean								Soul Mate (TV series) 0 77243937 1278783137 1278782846 2025-03-04T15:42:28Z Muatsem90 39233586 1278783137 wikitext text/x-wiki #REDIRECT List of Netflix original programming#Japanese 2 Category:Upcoming Netflix original programming Category:Upcoming South Korean television series Category:2025 South Korean television series debuts 1do6id3u1x2u141bxgtijp8ayrlc99y		
Youth Detective Haruya	Japanese	2015	Mystery fiction		Toru Otsuka Takashi Komatsu Yoshinori Kuraki	Masahiro Tanaka Tatsuya Itoh	8		Youth Detective Haruya is a Japanese TV series produced by Yomiuri Telecasting Corporation and aired on Nippon TV's "Platinum Night Thursday Drama" from October 15 to December 24, 2015. Yuta Tamamori played the lead role in his first Nippon TV drama series and the first lead role for a member of the Johnny & Associates in the same slot, including in a Thursday night drama. In the original story, multiple incidents involving Haruya take place in parallel and intertwine with each other, but the TV...		
The Queen Who Crowns	South Korean	2025	Melodrama, Sageuk	TVING, TvN, [[TVING]], [[TvN |tvN]]	Kim Sang Ho		12		The Queen Who Crowns () is a 2025 South Korean television series starring Cha Joo-young in the title role, along with Lee Hyun-wook, Lee Yi-dam and Lee Si-a. It aired on TVING every Monday and Tuesday at 14:00 (KST) and aired on TVN every Monday and Tuesday at 20:50 (KST) from January 6 to February 11, 2025.		
Believe: A Bridge to You	Japanese	2024	creator                  =	TV Asahi		Location	9		Believe: A Bridge to You (Japanese: Believe-君にかける橋, Believe: Kimi ni Kakeru Hashi) is a Japanese television drama series written by Yumiko Inoue, starring Takuya Kimura. It aired first in April 2024 on TV Asahi, as a work commemorating the 65th anniversary of the TV station.		
Category:South Korean television series posters	South Korean								Category:South Korean television series posters 14 77268973 1267749140 1232212339 2025-01-06T13:50:04Z Tom.Reding 9784415 + > 300 1267749140 wikitext text/x-wiki __NOGALLERY__ *Posters Category:Television series posters by country t01aues6w9dvk947hpkd1dk8lga7x2p		
Category:South Korean television series title cards	South Korean								Category:South Korean television series title cards 14 77269007 1232218191 1232218068 2024-07-02T16:00:30Z TAnthony 1808194 sort 1232218191 wikitext text/x-wiki __NOGALLERY__ *Title cards Category:Title card screenshots by country ak7pe7v2hyioljeat91o6x1rktnw87e		
Roppongi Class	Japanese	2022	creator                  = Jo Gwang-jin	TV Asahi	Naomi Tamura, Naomi Kinoshita	Location	13		Roppongi Class () is a Japanese television drama series based on Korean web comic 'Itaewon Class' and a remake of the Korean drama of the same name. It stars Ryoma Takeuchi and was first aired on TV Asahi in July 2022.		
Category:Philippine television series title cards	Philippine								Category:Philippine television series title cards 14 77272000 1232224205 2024-07-02T16:30:15Z TAnthony 1808194 Create 1232224205 wikitext text/x-wiki __NOGALLERY__ *Title cards Category:Title card screenshots by country ebq48skr3oglo79r2zlz7ha6ymkek6n		
Category:South Korean melodrama posters	South Korean								Category:South Korean melodrama posters 14 77273416 1232257626 1232257101 2024-07-02T20:11:15Z TAnthony 1808194 Category:Soap opera and telenovela posters 1232257626 wikitext text/x-wiki __NOGALLERY__ Category:Soap opera and telenovela posters Melodrama Posters fqb9p0014ebuqhusm2p437d0sa8opge		
Category:South Korean drama series posters	South Korean								Category:South Korean drama series posters 14 77273418 1232514568 1232257064 2024-07-04T03:42:36Z TAnthony 1808194 Category 1232514568 wikitext text/x-wiki __NOGALLERY__ Melodrama Category:Drama television series posters qnb6gjc049dygf57wwg0oeuzf2h81sc		
Category:South Korean melodrama title cards	South Korean								Category:South Korean melodrama title cards 14 77273600 1253159627 1232261086 2024-10-24T16:44:10Z TAnthony 1808194 Refine category 1253159627 wikitext text/x-wiki Title card and logo images from South Korean television melodramas. __NOGALLERY__ Title cards Category:South Korean television series title cards Category:Soap opera and telenovela title card images j8971bxhcg37gi5ex5vcg7qhtegy8yc		
Category:Philippine melodrama title cards	Philippine								Category:Philippine melodrama title cards 14 77273725 1234450244 1232268227 2024-07-14T12:23:51Z FrederickEvans 45934531 Change category. 1234450244 wikitext text/x-wiki Title card and logo images from Philippine television melodramas. __NOGALLERY__ Title cards melodrama Category:Soap opera and telenovela title card images et5n8eosgmuugkp7wlwqx56qt5zf50j		
Category:Philippine melodrama posters	Philippine								Category:Philippine melodrama posters 14 77273771 1250307256 1233719445 2024-10-09T17:06:21Z TAnthony 1808194 Add category 1250307256 wikitext text/x-wiki __NOGALLERY__ Category:Soap opera and telenovela posters Melodrama Posters muvp6x1fz41ym022lyrky8fengd4j05		
Category:Philippine television series posters	Philippine								Category:Philippine television series posters 14 77273782 1232269041 1232268828 2024-07-02T21:20:25Z TAnthony 1808194 Category 1232269041 wikitext text/x-wiki __NOGALLERY__ *Posters Category:Television series posters by country lnq8l41cucg47idhz5vs3xq8odfu52i		
Kamen Rider Gavv	Japanese	2024	Comedy, Fantasy, Horror film, Superhero fiction, Tokusatsu	All-Nippon News Network	Teruaki Sugihara	Takehiro Ōkawa Small Keisuke Shibataka Small Naomi Takebe Small Minami Takijima Small	50		is a Japanese drama, the 35th entry of Toei Company's Kamen Rider metaseries, and the sixth series to debut during the Reiwa period. The series debuted on September 1, 2024, joining Bakuage Sentai Boonboomger and later, No.1 Sentai Gozyuger in the Super Hero Time lineup after the finale of Kamen Rider Gotchard, before concluding on August 31, 2025 and succeeded by Kamen Rider ZEZTZ. It also marks the debut of a snack motif including gummy candies, potato chips, marshmallows, chocolates, and loll...		
The Love in Your Eyes	South Korean	2022	Family saga, Melodrama, Romance film	KBS1	Go Young Tak		123				
Category:Make Mate 1	South Korean								Category:Make Mate 1 14 77282287 1232516312 2024-07-04T03:59:59Z D.18th 45062989 Created category 1232516312 wikitext text/x-wiki Category:Korean Broadcasting System original programming Category:2024 South Korean television series debuts Category:Korean-language television shows Category:K-pop television series Category:Music competitions in South Korea Category:South Korean reality television series Category:Wikipedia categories named after South Korean television shows qa2msh4fvm30q8l5b9tfao1...		
Category:Japanese drama series posters	Japanese								Category:Japanese drama series posters 14 77306088 1249162205 1249161877 2024-10-03T15:02:08Z TAnthony 1808194 Category 1249162205 wikitext text/x-wiki __NOGALLERY__ Category:Drama television series posters *Posters Category:Japanese television series posters jsn8cii00hqo2egkh54ci8hqhpfljcc		
Category:Chinese drama series posters	Chinese								Category:Chinese drama series posters 14 77306089 1247818888 1233186032 2024-09-26T05:18:59Z TAnthony 1808194 Category 1247818888 wikitext text/x-wiki __NOGALLERY__ Category:Chinese television series posters Category:Drama television series posters suy9qzhswzxiitm8b1sxbc685mt9enf		
Category:Hong Kong drama series posters	Hong Kong								Category:Hong Kong drama series posters 14 77306091 1246768654 1233186072 2024-09-20T23:38:25Z TAnthony 1808194 Update 1246768654 wikitext text/x-wiki __NOGALLERY__ Category:Drama television series posters Category:Hong Kong television series posters svsvem0zhmcq1gua6lrw872bsj7n8gf		
Category:Taiwanese drama series posters	Taiwanese								Category:Taiwanese drama series posters 14 77306099 1247822638 1233186153 2024-09-26T06:03:38Z TAnthony 1808194 Category 1247822638 wikitext text/x-wiki __NOGALLERY__ Category:Drama television series posters Category:Taiwanese television series posters n1tbz8kltjz5gktwey9a01325kh3qde		
Romance in the House	South Korean	2024	Family drama, Melodrama, Romance drama	JTBC	Kim Da Ye		12		Romance in the House () is a 2024 South Korean television series starring Ji Jin-hee, Kim Ji-soo, Son Na-eun and Choi Min-ho. It aired on JTBC from August 10, to September 15, 2024, every Saturday and Sunday at 22:30 (KST). It is also available for streaming on Netflix in selected regions.		
Category:Philippine drama series posters	Philippine								Category:Philippine drama series posters 14 77324065 1233719510 1233651472 2024-07-10T14:58:48Z TAnthony 1808194 sort 1233719510 wikitext text/x-wiki __NOGALLERY__ Category:Drama television series posters Drama c6lfyr4hcolrppvlexref9r0grhlj3w		
Love Andante	South Korean	2024	Romantic comedy	Lifetime	Yoon Ryu Hae	Cinematography	8				
Padyak Princess	Philippine	2024	Comedy drama	TV5	Easy Ferrer	Sienna G Olaso Michael B Tuviera Jojo Oconer	80		Princess () is a Philippine comedy drama television series broadcast by TV5. Directed by Easy Ferrer, it stars Miles Ocampo, Jameson Blake, Joao Constancia and Kira Balinger. It aired on the network's Gandang Mornings line up and worldwide on Kapatid Channel from June 10 to September 27, 2024, and was replaced by Ang Himala ni Niño. The series is streaming online on YouTube.		
Rainbow Rumble	Philippine	2024	Game show, Trivia	A2Z, Facebook, Kapamilya Channel, Kapamilya Online Live, The Filipino Channel, YouTube, iWant	John Prats	Olivia Zarate	82		Rainbow Rumble is a Philippine television game show broadcast by Kapamilya Channel. Hosted by Luis Manzano and Negi, it aired on the network's Yes Weekend line up on July 20, 2024, replacing the fifth season of I Can See Your Voice. The second season premiered on June 28, 2025.	During its pilot week, the show received a 4.8% and 3.9% rating from AGB Nielsen Philippines for the July 20 and 21, 2024 episodes, respectively, and had a combined peak of 245,820 concurrent viewers online. The hashtags &lt;nowiki&gt;#ThisIsRainbowRumble&lt;/nowiki&gt;, &lt;nowiki&gt;#RainbowRumbleTondo&lt;/nowiki&gt;, and #Wrive_ColorClash, along with the phrase &quot;Wrive ON RAINBOW RUMBLE&quot; trended on X. In the weeks that followed, the show continued to break its concurrent viewer recor...	
Category:Thai drama series posters	Thai								Category:Thai drama series posters 14 77337502 1253011950 1250307830 2024-10-23T23:09:14Z TAnthony 1808194 Category 1253011950 wikitext text/x-wiki __NOGALLERY__ Category:Drama television series posters Category:Thai television series posters 6h5p4wz7gpsr15g2apw6h5fshvif1gb		
Tarot	South Korean	2024	Korean horror, Mystery fiction, Thriller (genre)	U+ Mobile TV	Ill Choi Byung Gil Ko, Ltref Name, Quotproduction, Quot, Gt	Cinematography	7		Tarot () is a 2024 South Korean horror mystery thriller television series written by Kyung Min-sun, directed by , and starring Cho Yeo-jeong, Park Ha-sun, Kim Jin-young, Ko Kyu-pil, Seo Ji-hoon, Hahm Eun-jung, and . The series deals with seven mystery thriller stories after receiving different tarot cards. Among the episodes of the series, "Santa's Visit" starring Cho was selected for the Short Form Competition.		
